comment_id,text,author,timestamp,likes,video_id,cleaned_text,cleaned_text_no_stopwords,sentiment_label,confidence_score,textblob_sentiment,textblob_polarity,textblob_subjectivity,vader_sentiment,vader_compound,vader_pos,vader_neu,vader_neg
comment_-3651237937289699851,"0:00 Introduction
1:07 Git Introduction
5:00 GitHub Introduction
7:25 Setting Up GitHub
 Setting Up Git
 Configuring Git
 Working with VS Code
 Clone and Status
 Add and Commit
 Push Command
 Init Command
 Work Flow",@debprosad6890,Unknown time,60,Ez8F0nW6S-w,0:00 introduction 1:07 git introduction 5:00 github introduction 7:25 setting up github setting up git configuring git working with vs code clone and status add and commit push command init command work flow,0:00 introduction 1:07 git introduction 5:00 github introduction 7:25 setting github setting git configuring git working vs code clone status add commit push command init command work flow,Positive,0.20719999999999997,Neutral,0.0,0.0,Positive,0.296,0.064,0.936,0.0
comment_-8095582349032458806,Thank  you for such an incrediable tutorail Shardha  didi,@MDFaiz-il3ub,Unknown time,1,Ez8F0nW6S-w,thank you for such an incrediable tutorail shardha didi,thank incrediable tutorail shardha didi,Positive,0.25284,Neutral,0.0,0.5,Positive,0.3612,0.238,0.762,0.0
comment_-4397099837347861102,dude take this down causing a huge ruckus amng devs,@chaitanya812,Unknown time,293,Ez8F0nW6S-w,dude take this down causing a huge ruckus amng devs,dude take causing huge ruckus amng devs,Positive,0.22021111111111108,Positive,0.1222222222222222,0.5944444444444444,Positive,0.3182,0.204,0.796,0.0
comment_1525426873102898011,"This video is very awesome......I understood everything...I was facing a lot of problems and time learning git/github...but the way you explained, I understood it very easily......thanks for the effort you make teaching hundreds and thousands even much more and explaining it in a simplified manner",@BangtanChic.mp4,Unknown time,21,Ez8F0nW6S-w,"this video is very awesome......i understood everything...i was facing a lot of problems and time learning gitgithub...but the way you explained, i understood it very easily......thanks for the effort you make teaching hundreds and thousands even much more and explaining it in a simplified manner","video awesome ...... understood everything ... facing lot problems time learning gitgithub ... but way explained , understood easily ...... thanks effort make teaching hundreds thousands even much explaining simplified manner",Negative,0.28132999999999997,Positive,0.3,0.3666666666666667,Negative,-0.4019,0.0,0.942,0.058
comment_-7908755824821260642,Amazing video for the beginner. Salute 🫡 to your hard word to create this video,@zeeshansayyed6080,Unknown time,0,Ez8F0nW6S-w,amazing video for the beginner. salute  to your hard word to create this video,amazing video beginner . salute hard word create video,Positive,0.41233333333333333,Positive,0.1541666666666667,0.7208333333333333,Positive,0.6705,0.322,0.601,0.077
comment_6856100606574888361,"Bhaiya 12th pass hone ke baad bhi it sector me inki vajah se aa paya .
Inki avaj sunker hi coding sikhi or aaj mis team lead hu .
With amazing package thanks a lot di",@Reva_Prime,Unknown time,33,Ez8F0nW6S-w,bhaiya 12th pass hone ke baad bhi it sector me inki vajah se aa paya . inki avaj sunker hi coding sikhi or aaj mis team lead hu . with amazing package thanks a lot di,bhaiya 12th pass hone ke baad bhi sector inki vajah se aa paya . inki avaj sunker hi coding sikhi aaj mis team lead hu . amazing package thanks lot di,Positive,0.58585,Positive,0.4,0.55,Positive,0.7717,0.165,0.835,0.0
comment_-7418724028332496650,"Edit out that part, you've already screwed up the repo",@machlangsambruder,Unknown time,96,Ez8F0nW6S-w,"edit out that part, youve already screwed up the repo","edit part , youve already screwed repo",Negative,0.34573,Neutral,0.0,0.0,Negative,-0.4939,0.0,0.738,0.262
comment_8676411812244282994,Excellent presentation and the lecture is outstanding. Just loved it.,@mathict,Unknown time,1,Ez8F0nW6S-w,excellent presentation and the lecture is outstanding. just loved it.,excellent presentation lecture outstanding . loved .,Positive,0.8225666666666667,Positive,0.7333333333333334,0.8916666666666666,Positive,0.9118,0.624,0.376,0.0
comment_8022632941055856090,"Finally, I have completed this video, thank you so much Shraddha ma'm for this. It's one of the best GitHub video , easy to understand. You cleared my all doubts, now I'm feeling confident. so thank so you much ma'm",@romimawandia4817,Unknown time,10,Ez8F0nW6S-w,"finally, i have completed this video, thank you so much shraddha mam for this. its one of the best github video , easy to understand. you cleared my all doubts, now im feeling confident. so thank so you much mam","finally , completed video , thank much shraddha mam . one best github video , easy understand . cleared doubts , im feeling confident . thank much mam",Positive,0.6623944444444444,Positive,0.3888888888888889,0.5611111111111112,Positive,0.9359,0.351,0.607,0.042
comment_-762136664550225159,Apna college is One stop solution for all the problems,@sujathad7077,Unknown time,16,Ez8F0nW6S-w,apna college is one stop solution for all the problems,apna college one stop solution problems,Negative,0.26725999999999994,Neutral,0.0,0.0,Negative,-0.3818,0.162,0.493,0.345
comment_-2782280841418768117,i have never experience my time so profitably spend on watching some youtube video for learning some new concept .Excellent video on git and git hub. I had no idea of git  and github before and after watching it i am feeling like a pro. you are an amazing teacher . please make some videos about automation tools like terraform and ansible.,@Asmamahdi-f8x,Unknown time,0,Ez8F0nW6S-w,i have never experience my time so profitably spend on watching some youtube video for learning some new concept .excellent video on git and git hub. i had no idea of git and github before and after watching it i am feeling like a pro. you are an amazing teacher . please make some videos about automation tools like terraform and ansible.,never experience time profitably spend watching youtube video learning new concept .excellent video git git hub . no idea git github watching feeling like pro . amazing teacher . please make videos automation tools like terraform ansible .,Positive,0.6577909090909091,Positive,0.3681818181818182,0.6772727272727272,Positive,0.9474,0.259,0.712,0.029
comment_1462768910772381513,"So much hate in the comments for something she did not intend to promote. People, please use common sense. If you cannot use common sense, it will be a tough road ahead on your programming journey.",@vajrasar,Unknown time,15,Ez8F0nW6S-w,"so much hate in the comments for something she did not intend to promote. people, please use common sense. if you cannot use common sense, it will be a tough road ahead on your programming journey.","much hate comments something not intend promote . people , please use common sense . not use common sense , tough road ahead programming journey .",Negative,0.5514111111111111,Negative,-0.44722222222222224,0.6833333333333333,Negative,-0.6556,0.055,0.763,0.183
comment_1159287583219208941,Thank you! I actually learned Git and Git hub in an hour with your tutorial.,@shikhayadav4291,Unknown time,11,Ez8F0nW6S-w,thank you! i actually learned git and git hub in an hour with your tutorial.,thank ! actually learned git git hub hour tutorial .,Positive,0.29392999999999997,Neutral,0.0,0.1,Positive,0.4199,0.166,0.834,0.0
comment_-1734562073778583506,"Wow, what an explanation that too in just 1 hr 15 mins, best video on Git and GitHub!!Thank you!!",@MEGHASHAH-s2d,Unknown time,0,Ez8F0nW6S-w,"wow, what an explanation that too in just 1 hr 15 mins, best video on git and github!!thank you!!","wow , explanation 1 hr 15 mins , best video git github ! ! thank ! !",Positive,0.7149000000000001,Positive,0.55,0.65,Positive,0.8798,0.35,0.65,0.0
comment_6722501492252376822,1:13:04 main culprit 5 month ke bad bomb phuta,@mukulkumar5133,Unknown time,145,Ez8F0nW6S-w,1:13:04 main culprit 5 month ke bad bomb phuta,1:13:04 main culprit 5 month ke bad bomb phuta,Negative,0.5191833333333333,Negative,-0.2666666666666666,0.5,Negative,-0.7717,0.0,0.511,0.489
comment_4374744079122381305,Ma'am please upload Java script series as soon as possible,@shivammishra6482,Unknown time,12,Ez8F0nW6S-w,maam please upload java script series as soon as possible,maam please upload java script series soon possible,Positive,0.22273999999999997,Neutral,0.0,1.0,Positive,0.3182,0.204,0.796,0.0
comment_-628839847262609815,"Great explanation, i am new to IT so started to learn this. This was very interesting to learn and the concepts explained were spot-on. Thank you for such a course.",@MHemanthKumar-d1t,Unknown time,2,Ez8F0nW6S-w,"great explanation, i am new to it so started to learn this. this was very interesting to learn and the concepts explained were spoton. thank you for such a course.","great explanation , new started learn . interesting learn concepts explained spoton . thank course .",Positive,0.6293954545454545,Positive,0.3965909090909091,0.5886363636363636,Positive,0.8622,0.262,0.738,0.0
comment_7332271791256747276,Most awaited video,@aryanbansal1290,Unknown time,6,Ez8F0nW6S-w,most awaited video,awaited video,Positive,0.35,Positive,0.5,0.5,Negative,-0.101,0.0,0.589,0.411
comment_6373584489779048043,"It's really amazing after learning a lot many new things about git and GitHub. Although I'm completely new to GitHub,but concepts were taught so nicely that I can finally use those commands at least on the intermediate level...",@pragyas_direction,Unknown time,1,Ez8F0nW6S-w,"its really amazing after learning a lot many new things about git and github. although im completely new to github,but concepts were taught so nicely that i can finally use those commands at least on the intermediate level...","really amazing learning lot many new things git github . although im completely new github , but concepts taught nicely finally use commands least intermediate level ...",Positive,0.5360305194805195,Positive,0.23896103896103896,0.6727272727272727,Positive,0.8331,0.179,0.821,0.0
comment_7042405558019328222,Very crisp and solid tutorial. Helpful and easy to understand.,@samyukta4369,Unknown time,11,Ez8F0nW6S-w,very crisp and solid tutorial. helpful and easy to understand.,crisp solid tutorial . helpful easy understand .,Positive,0.5075888888888889,Positive,0.25277777777777777,0.4916666666666667,Positive,0.7624,0.519,0.481,0.0
comment_-981988325752506085,I was searching for the same topic but at same time this notification came... Thank You mam,@Engineering_Girl,Unknown time,13,Ez8F0nW6S-w,i was searching for the same topic but at same time this notification came... thank you mam,searching topic but time notification came ... thank mam,Positive,0.35161,Neutral,0.0,0.125,Positive,0.5023,0.169,0.831,0.0
comment_5806889366130742059,I just want to say it is not easy but it definitely will. Keep grinding i know your commands are not working u r taking a lot of time to write but trust the process u will succeed,@yupyupyoyo,Unknown time,0,Ez8F0nW6S-w,i just want to say it is not easy but it definitely will. keep grinding i know your commands are not working u r taking a lot of time to write but trust the process u will succeed,want say not easy but definitely . keep grinding know commands not working u r taking lot time write but trust process u succeed,Positive,0.64008,Negative,-0.10833333333333334,0.6666666666666667,Positive,0.9144,0.279,0.685,0.035
comment_-8251802285924436778,Thank you so much for this tutorial ️,@NishantAndFlute,Unknown time,6,Ez8F0nW6S-w,thank you so much for this tutorial,thank much tutorial,Positive,0.2806,Positive,0.2,0.2,Positive,0.3612,0.294,0.706,0.0
comment_-6778905897967617374,Simply amazing tutorial - I can feel the confidence in her teaching and that's what makes it easy to learn and retain the knowledge. Thanks a lot. (not a complain but do you think we miss #git log command? I heard it's used a lot),@yasirhussain5883,Unknown time,5,Ez8F0nW6S-w,simply amazing tutorial  i can feel the confidence in her teaching and thats what makes it easy to learn and retain the knowledge. thanks a lot. not a complain but do you think we miss log command? i heard its used a lot,simply amazing tutorial feel confidence teaching thats makes easy learn retain knowledge . thanks lot . not complain but think miss log command ? heard used lot,Positive,0.5692555555555556,Positive,0.41111111111111115,0.6444444444444445,Positive,0.7274,0.205,0.757,0.039
comment_7292136742740916099,You are actually a great and motivative teacher ever! I am full stack developer but if I have any problem first I watch your channel.,@mamoonaemma,Unknown time,0,Ez8F0nW6S-w,you are actually a great and motivative teacher ever! i am full stack developer but if i have any problem first i watch your channel.,actually great motivative teacher ever ! full stack developer but problem first watch channel .,Positive,0.3733333333333333,Positive,0.5333333333333333,0.5444444444444444,Negative,-0.3164,0.087,0.783,0.131
comment_-7276499112559824477,Ho gya revision git ka sirf 50 minutes ma (1.5x)   . Thanks aapna college  .,@blackhole1617,Unknown time,30,Ez8F0nW6S-w,ho gya revision git ka sirf 50 minutes ma 1.5x . thanks aapna college .,ho gya revision git ka sirf 50 minutes 1.5x . thanks aapna college .,Positive,0.32020000000000004,Positive,0.2,0.2,Positive,0.4404,0.172,0.828,0.0
comment_5045143437286914618,"Git Commands [Till WorkFlow (49:10)]

24:06 - Clone
27:01 - List files (ls)
 - List hidden files (ls -a)
 - Status of project
 - Add
 - To Add all files (git add .)
 - Commit
 - Push (Show changes in Github website)
 - Exit directory in vs code (cd ..)
 - Make new folder (mkdir)
 - git init command
 - git remote add origin command
 - git remote -v
 - git branch
 - git branch -M main
 - git push -u origin  main",@bethlehem9757,Unknown time,5,Ez8F0nW6S-w,git commands till workflow 49:10 24:06  clone 27:01  list files ls  list hidden files ls a  status of project  add  to add all files git add .  commit  push show changes in github website  exit directory in vs code cd ..  make new folder mkdir  git init command  git remote add origin command  git remote v  git branch  git branch m main  git push u origin main,git commands till workflow 49:10 24:06 clone 27:01 list files ls list hidden files ls status project add add files git add . commit push show changes github website exit directory vs code cd .. make new folder mkdir git init command git remote add origin command git remote v git branch git branch main git push u origin main,Positive,0.20719999999999997,Neutral,0.017171717171717168,0.309090909090909,Positive,0.296,0.032,0.968,0.0
comment_-4674523103934585293,Thank you mam for this wonderful learning . I have seen lots of class of other also to understand git and github but they are unable to give me the git information in this simple way and easy to understand .,@ankitvatsofficial,Unknown time,1,Ez8F0nW6S-w,thank you mam for this wonderful learning . i have seen lots of class of other also to understand git and github but they are unable to give me the git information in this simple way and easy to understand .,thank mam wonderful learning . seen lots class also understand git github but unable give git information simple way easy understand .,Positive,0.4841833333333333,Positive,0.16166666666666668,0.6130952380952381,Positive,0.8067,0.179,0.821,0.0
comment_29464284087336171,Most Lovable platform for Coding,@tecboost8176,Unknown time,11,Ez8F0nW6S-w,most lovable platform for coding,lovable platform coding,Positive,0.5739000000000001,Positive,0.5,0.5,Positive,0.6478,0.518,0.482,0.0
comment_-4280951251483741030,First of all thank you so much for these type of content for the people who want to learn new things your video help many people to upgrade their knowledge and if possible please add one series on spring and spring boot in java,@vwaspies9971,Unknown time,7,Ez8F0nW6S-w,first of all thank you so much for these type of content for the people who want to learn new things your video help many people to upgrade their knowledge and if possible please add one series on spring and spring boot in java,first thank much type content people want learn new things video help many people upgrade knowledge possible please add one series spring spring boot java,Positive,0.49778636363636364,Positive,0.21727272727272728,0.49757575757575756,Positive,0.7783,0.18,0.82,0.0
comment_-2704887347274641922,Thankx Shraddha Mam for this awesome simple video. i understand all concpts very well and practice it once.  Thankyou so much,@dhananjayjadhav7568,Unknown time,1,Ez8F0nW6S-w,thankx shraddha mam for this awesome simple video. i understand all concpts very well and practice it once. thankyou so much,thankx shraddha mam awesome simple video . understand concpts well practice . thankyou much,Positive,0.57785,Positive,0.35,0.4642857142857143,Positive,0.8057,0.277,0.723,0.0
comment_-2618093079894494140,The only responsible thing to do is take this video down,@TomDoesTech,Unknown time,73,Ez8F0nW6S-w,the only responsible thing to do is take this video down,responsible thing take video,Positive,0.22273999999999997,Neutral,0.014814814814814817,0.612962962962963,Positive,0.3182,0.187,0.813,0.0
